year,plot,column,row,accession,SampleName,DTF,DTH,PtHt,PcleLng,SdLen,TGW,SdWpPlot,SdW_z
2017,276,4,12,D-12309,S3E3_batch1,NA,NA,141,NA,NA,NA,94.98,-0.204579198
2017,277,4,13,Ames-13735,S1B6_batch1,NA,NA,115,NA,NA,NA,109.3,-0.037088668
2017,278,4,14,D-12033,S8F12_batch2,NA,NA,132,NA,NA,NA,41.65,-0.828341069
2017,279,4,15,Regalona,S1C5_batch1,NA,NA,NA,NA,NA,NA,144.96,0.380000181
2017,281,4,17,D-12399,NA,NA,NA,146,NA,NA,NA,46.01,-0.777345349
2017,282,4,18,Ames-19047,NA,NA,NA,150,NA,NA,NA,95.42,-0.199432841
2017,283,4,19,Regalona,S1C5_batch1,NA,NA,110,NA,NA,NA,138.92,0.309354734
2017,284,4,20,CHEN-219,S2G9_batch1,NA,NA,138,NA,NA,NA,NA,NA
2017,285,4,21,Ames-13758,S744_batch3,NA,NA,123,NA,NA,NA,184.04,0.83709026
2017,286,4,22,D-12393,S3C4_batch1,NA,NA,130,NA,NA,NA,82.58,-0.349612898
2017,287,4,23,D-12351,NA,NA,NA,120,NA,NA,NA,319.02,2.415852257
2017,288,4,24,D-10123,NA,NA,NA,141,NA,NA,NA,29.45,-0.971035515
2017,289,4,25,Regalona,S1C5_batch1,NA,NA,98,NA,NA,NA,84.36,-0.328793544
2017,290,4,26,PI-614885,S1C9_batch1,NA,NA,159,NA,NA,NA,125.94,0.1575372
2017,291,4,27,CHEN-282,S2D9_batch2,NA,NA,166,NA,NA,NA,21.83,-1.060161063
2017,292,4,28,D-12151,NA,NA,NA,123,NA,NA,NA,75.69,-0.430200171
2017,293,4,29,D-12164,S8G3_batch2,NA,NA,150,NA,NA,NA,NA,NA
2017,294,4,30,D-11900,NA,NA,NA,150,NA,NA,NA,101.14,-0.132530199
2017,295,4,31,CHEN-389,S1A7_batch1,NA,NA,190,NA,NA,NA,149.96,0.438481511
2017,296,4,32,D-12038,S3D2_batch2,NA,NA,128,NA,NA,NA,17.5,-1.110805895
2017,298,4,34,Brightest-Brilliant-Rainbow,S1G5_batch1,NA,NA,155,NA,NA,NA,357.72,2.868497754
2017,300,4,36,D-12066,S1H5_batch2,NA,NA,140,NA,NA,NA,291.02,2.088356806
2017,301,4,37,D-11917,NA,NA,NA,135,NA,NA,NA,112.62,0.001742935
2017,302,4,38,D-12251,S3F8_batch1,NA,NA,95,NA,NA,NA,NA,NA
2017,304,4,40,D-9983,NA,NA,NA,175,NA,NA,NA,NA,NA
2017,305,4,41,D-11960,NA,NA,NA,130,NA,NA,NA,NA,NA
2017,306,4,42,CHEN-367,NA,NA,NA,129,NA,NA,NA,113.95,0.017298969
2017,307,4,43,D-9973,S1F11_batch1,NA,NA,156,NA,NA,NA,NA,NA
2017,308,4,44,Ames-13750,S2D4_batch1,NA,NA,136,NA,NA,NA,62.65,-0.582719481
2017,309,4,45,BET-1,S692_batch3,NA,NA,107,NA,NA,NA,273.81,1.887064067
2017,310,4,46,D-12209,NA,NA,NA,126,NA,NA,NA,62.35,-0.586228361
2017,311,4,47,D-12289,S2H6_batch1,NA,NA,145,NA,NA,NA,179.89,0.788550755
2017,312,4,48,PI-614885,S1C9_batch1,NA,NA,170,NA,NA,NA,227.36,1.343772507
2017,313,4,49,D-12350,S3C5_batch1,NA,NA,150,NA,NA,NA,145.63,0.387836679
2017,314,4,50,CHEN-211,S6H1_batch2,NA,NA,114,NA,NA,NA,50.41,-0.725881778
2017,315,4,51,D-12329,S3G9_batch1,NA,NA,170,NA,NA,NA,451.48,3.965139663
2017,316,4,52,D-12310,NA,NA,NA,90,NA,NA,NA,147.36,0.408071219
2017,318,4,54,CHEN-257,NA,NA,NA,100,NA,NA,NA,NA,NA
2017,319,4,55,D-12243,S1C2_batch1,NA,NA,91,NA,NA,NA,77.94,-0.403883573
2017,322,4,58,D-10162,NA,NA,NA,135,NA,NA,NA,NA,NA
2017,325,4,61,D-12208,S1H8_batch1,NA,NA,115,NA,NA,NA,NA,NA
2017,326,4,62,D-12254,NA,NA,NA,120,NA,NA,NA,NA,NA
2017,327,4,63,Regalona,S1C5_batch1,NA,NA,100,NA,NA,NA,127.55,0.176368188
2017,328,4,64,D-12321,S6B3_batch2,NA,NA,84,NA,NA,NA,NA,NA
2017,329,4,65,D-12395,S4F7_batch1,NA,NA,95,NA,NA,NA,11.79,-1.177591575
2017,331,4,67,D-12382,NA,NA,NA,75,NA,NA,NA,NA,NA
2017,332,4,68,D-11931,NA,NA,NA,148,NA,NA,NA,60.67,-0.605878088
